Crop,Season,State,Soil_Type,Area_ha,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Fertilizer,Pesticide,Irrigation,Yield_ton_per_ha
Sugarcane,Whole Year,Andhra Pradesh,Loamy,483.5,149.8,115.4,111.2,6.37,27.3,99.0,644.9,206.0,12.6,0,104.004
Maize,Kharif,Uttar Pradesh,Alluvial,372.0,132.8,32.2,31.6,7.3,24.7,53.0,1039.2,84.4,13.15,1,1.532
Wheat,Rabi,Jharkhand,Alluvial,463.94,82.3,33.1,44.0,6.69,27.6,38.6,1362.4,313.4,18.37,0,1.691
Cotton,Kharif,Punjab,Clay,482.76,66.4,35.2,26.4,6.5,21.4,66.7,734.2,103.8,7.57,1,0.607
Mustard,Rabi,Bihar,Loamy,473.62,60.0,28.2,20.4,5.78,23.7,30.4,835.2,238.4,23.65,1,2.341
Wheat,Rabi,Jharkhand,Alluvial,467.31,154.4,39.2,43.4,7.65,27.9,58.7,1781.2,68.0,17.25,0,1.131
Sugarcane,Whole Year,Haryana,Black,417.0,186.0,75.4,73.9,6.22,25.4,79.2,311.1,334.0,24.16,1,71.942
Groundnut,Kharif,Rajasthan,Loamy,445.71,26.9,62.6,53.9,7.31,27.5,67.3,315.4,149.8,1.74,1,1.7
Potato,Rabi,Odisha,Sandy Loam,45.0,186.7,109.3,65.0,5.34,27.1,88.0,1659.4,44.9,18.4,0,6.06
Maize,Kharif,Uttar Pradesh,Alluvial,481.94,86.0,42.9,51.6,5.53,25.5,81.5,761.7,210.7,2.18,0,1.036
Rice,Kharif,Chhattisgarh,Sandy Loam,499.18,83.1,22.6,34.4,6.33,25.6,99.0,1728.7,172.0,2.14,1,1.72
Barley,Rabi,Punjab,Laterite,428.57,63.8,30.0,43.7,8.02,24.2,26.1,499.8,331.9,24.33,1,4.0
Banana,Whole Year,Kerala,Loamy,384.46,363.4,62.2,329.0,7.82,29.1,76.2,2891.4,315.5,25.0,0,11.392
Maize,Kharif,Chhattisgarh,Alluvial,495.67,166.7,39.6,17.1,7.19,28.3,56.9,1645.5,82.1,6.95,0,1.763
Maize,Zaid,Uttar Pradesh,Alluvial,404.6,80.6,40.9,47.2,5.48,22.6,82.4,1303.4,46.3,19.83,1,1.847
Banana,Whole Year,Chhattisgarh,Loamy,18.0,169.3,46.5,341.0,7.37,32.5,73.6,996.2,244.3,2.05,0,68.944
Rice,Rabi,Kerala,Sandy Loam,492.89,83.2,45.5,27.6,5.89,25.9,64.1,2373.2,43.9,10.31,0,2.352
Rice,Rabi,Assam,Loamy,493.67,52.4,42.0,42.7,6.71,25.0,61.0,1477.2,175.1,11.64,1,1.937
Mustard,Rabi,Uttar Pradesh,Loamy,490.75,49.2,47.4,15.9,6.74,22.5,42.6,1042.0,177.8,10.76,1,1.492
Chickpea,Rabi,Uttar Pradesh,Sandy,488.23,19.4,41.4,23.5,6.01,27.2,38.0,636.2,340.5,1.69,1,1.03
Sugarcane,Kharif,Uttar Pradesh,Loamy,468.5,161.9,45.9,58.0,6.22,26.7,67.5,728.5,129.8,2.58,1,33.973
Groundnut,Kharif,Madhya Pradesh,Loamy,457.0,16.7,24.0,39.3,5.43,29.8,72.5,1277.7,298.9,19.31,1,0.867
Chickpea,Rabi,Gujarat,Loamy,484.21,16.2,45.3,14.4,6.88,25.8,56.5,1124.2,57.5,4.3,0,0.815
Wheat,Rabi,Punjab,Loamy,496.69,93.2,42.2,41.2,7.32,19.6,51.6,838.7,326.2,20.58,0,4.947
Rice,Kharif,West Bengal,Laterite,495.79,76.6,21.4,22.0,6.78,28.2,97.4,2053.6,69.2,5.98,0,1.786
Maize,Rabi,Karnataka,Loamy,483.68,134.5,71.0,55.4,7.2,28.3,46.0,709.5,128.3,24.72,0,1.808
Maize,Kharif,Rajasthan,Sandy,16.0,76.5,31.0,21.2,6.17,27.4,44.6,330.5,205.9,20.23,0,1.562
Jute,Kharif,Assam,Laterite,403.0,90.2,25.7,25.3,6.97,26.7,93.5,2669.8,315.3,8.13,1,1.195
Groundnut,Kharif,Tamil Nadu,Red,496.17,28.0,55.9,52.1,6.38,35.5,61.5,1166.5,197.9,16.21,1,1.19
Rice,Kharif,Jharkhand,Alluvial,471.07,121.9,32.4,32.3,5.3,21.2,99.0,1303.0,77.9,16.86,1,0.71
Maize,Kharif,Odisha,Loamy,44.0,117.9,27.1,18.7,6.48,26.0,69.0,2056.5,297.6,18.64,1,1.241
Barley,Rabi,Bihar,Black,468.0,75.9,27.4,34.0,7.46,30.7,44.0,1543.5,103.6,7.27,1,1.318
Rice,Kharif,West Bengal,Alluvial,493.71,70.0,32.8,39.9,6.48,21.9,91.4,1499.5,75.8,15.91,1,2.233
Maize,Zaid,Maharashtra,Loamy,450.0,112.9,64.8,25.9,7.47,28.7,50.0,663.6,85.1,8.85,1,1.111
Rice,Kharif,Haryana,Loamy,486.77,101.3,21.9,28.6,7.28,25.6,66.2,609.4,143.2,8.99,1,2.334
Barley,Kharif,Madhya Pradesh,Laterite,41.0,62.3,20.8,33.3,6.49,26.0,60.9,558.9,91.9,16.12,1,4.39
Maize,Kharif,Gujarat,Sandy Loam,450.0,79.7,34.2,46.5,5.9,26.7,57.5,426.7,41.2,6.01,1,1.389
Rice,Zaid,Maharashtra,Loamy,428.57,90.2,62.1,22.4,6.84,24.5,62.4,712.7,240.2,12.88,0,1.733
Coffee,Whole Year,Jharkhand,Laterite,1.62,56.2,50.8,41.7,4.65,22.1,71.7,745.5,200.2,16.0,1,1.702
Rice,Zaid,Odisha,Alluvial,485.71,96.1,30.2,67.9,5.71,28.7,76.8,1238.0,302.7,19.4,1,2.353
Wheat,Rabi,Rajasthan,Loamy,499.19,132.1,45.3,26.6,6.62,25.6,31.5,320.9,60.9,15.86,0,3.648
Potato,Whole Year,Madhya Pradesh,Sandy,462.22,160.8,50.0,105.8,5.54,26.5,52.7,1253.8,58.3,1.09,1,13.374
Groundnut,Kharif,Uttar Pradesh,Alluvial,10.0,9.6,38.7,38.2,6.72,24.2,47.8,484.9,289.8,5.5,1,0.6
Maize,Zaid,Odisha,Laterite,131.0,107.1,67.5,33.9,6.77,28.7,82.1,1809.4,182.3,23.43,1,1.502
Groundnut,Kharif,Gujarat,Clay,493.33,24.5,50.7,40.7,6.41,27.7,59.1,873.2,32.2,3.21,1,1.23
Rice,Rabi,Kerala,Loamy,486.93,86.7,28.2,41.2,6.35,23.7,88.1,1959.4,253.2,10.28,1,3.274
Rice,Kharif,Uttar Pradesh,Alluvial,496.39,94.9,75.0,47.4,5.86,26.6,73.0,1282.0,242.8,11.74,1,2.79
Barley,Rabi,Uttar Pradesh,Sandy Loam,13.0,85.9,32.7,20.4,8.21,25.6,50.9,890.9,310.8,1.53,0,2.385
Barley,Rabi,Bihar,Loamy,154.0,108.8,49.0,32.6,8.43,31.4,47.2,695.3,287.9,19.24,1,1.13
Chickpea,Rabi,Karnataka,Black,466.0,28.2,46.0,19.1,6.36,25.9,49.1,1679.5,129.4,20.32,1,0.68
Potato,Whole Year,Gujarat,Alluvial,200.0,95.6,60.9,121.6,5.6,28.9,55.9,454.6,170.4,9.78,1,27.5
Rice,Rabi,Kerala,Loamy,468.52,113.8,72.1,41.1,5.49,24.8,69.8,2012.6,315.3,22.96,0,2.106
Rice,Kharif,Haryana,Loamy,494.94,57.0,25.8,29.9,6.42,26.1,79.5,824.9,314.3,7.14,1,2.425
Groundnut,Kharif,Madhya Pradesh,Clay,48.0,23.1,41.3,40.7,5.84,25.6,61.2,1290.0,285.8,15.41,1,0.729
Rice,Kharif,Jharkhand,Alluvial,491.37,57.4,62.9,43.8,5.65,23.8,99.0,1556.7,126.6,21.27,1,0.639
Mustard,Rabi,Madhya Pradesh,Loamy,477.58,70.0,32.2,16.9,5.61,26.9,63.0,1198.1,78.7,3.59,1,0.78
Rice,Zaid,Odisha,Alluvial,333.33,93.8,68.0,46.1,6.16,29.8,60.6,1950.9,222.3,16.93,1,1.0
Maize,Kharif,Madhya Pradesh,Alluvial,442.25,122.7,53.6,24.6,5.79,22.9,79.7,769.6,127.1,14.11,1,1.747
Mustard,Rabi,Gujarat,Sandy Loam,200.0,56.7,42.5,35.0,6.25,28.9,51.4,1057.5,77.2,6.06,1,1.5
Cotton,Kharif,Haryana,Black,499.06,103.8,31.1,39.0,6.08,27.0,30.3,810.2,69.8,6.73,0,0.762
Rice,Kharif,Karnataka,Clay,496.58,91.0,47.0,36.6,5.04,30.0,72.0,918.9,277.2,8.36,1,2.109
Wheat,Rabi,Madhya Pradesh,Alluvial,497.49,114.8,53.1,23.4,6.26,24.2,50.7,1229.8,253.7,11.93,0,1.455
Maize,Rabi,Maharashtra,Alluvial,493.55,111.8,44.4,29.6,7.27,28.4,44.9,852.5,249.1,15.74,0,1.307
Jute,Kharif,Assam,Loamy,2.0,35.9,39.3,13.6,5.27,25.8,88.7,1472.9,46.8,24.75,1,0.85
Rice,Kharif,Karnataka,Black,497.38,96.6,58.4,49.4,5.65,25.0,74.6,763.1,326.0,18.23,0,3.704
Cotton,Kharif,Tamil Nadu,Red,461.43,37.7,27.6,17.3,5.97,26.4,61.4,1160.7,121.3,23.08,0,0.571
Mustard,Whole Year,Madhya Pradesh,Clay,493.68,41.0,32.2,19.2,7.29,24.2,67.4,1336.2,36.2,18.25,1,1.008
Sugarcane,Whole Year,Andhra Pradesh,Black,484.85,286.0,110.9,106.7,7.26,26.1,59.1,693.4,84.1,19.25,1,103.438
Chickpea,Rabi,Madhya Pradesh,Loamy,498.18,29.9,51.0,36.9,7.75,25.0,35.5,1280.2,30.6,14.5,1,1.086
Wheat,Rabi,Haryana,Red,495.76,114.0,68.5,48.7,7.99,22.3,70.8,539.4,181.4,18.34,1,4.011
Wheat,Rabi,West Bengal,Loamy,423.5,114.0,32.3,19.7,7.91,21.3,44.8,1062.6,340.0,12.48,1,1.982
Mustard,Rabi,Uttar Pradesh,Alluvial,448.67,73.9,36.7,10.2,7.4,30.8,67.0,1241.2,185.8,9.8,1,0.681
Chickpea,Rabi,Madhya Pradesh,Loamy,466.46,27.7,38.9,27.3,7.0,24.7,33.6,800.1,249.9,23.56,1,1.291
Mustard,Rabi,Punjab,Alluvial,461.54,59.4,40.4,26.7,7.19,22.6,37.7,525.9,196.4,4.89,1,1.333
Maize,Zaid,Karnataka,Sandy Loam,440.0,117.5,43.5,42.9,5.35,24.7,59.0,1321.8,114.9,23.84,0,3.244
Chickpea,Rabi,Bihar,Black,21.0,18.6,51.2,15.0,6.64,23.7,29.8,1169.7,200.3,17.85,1,1.286
Rice,Kharif,Jharkhand,Loamy,384.56,85.0,37.4,31.2,6.58,23.1,62.4,1753.3,251.8,4.22,1,0.889
Sugarcane,Kharif,Uttar Pradesh,Black,442.43,137.9,65.9,58.1,7.05,24.5,89.7,881.7,84.9,11.97,1,52.488
Sugarcane,Whole Year,Madhya Pradesh,Sandy,460.2,138.7,88.7,68.0,5.89,24.1,69.3,783.0,253.1,6.38,1,41.204
Groundnut,Kharif,Karnataka,Sandy Loam,280.0,26.7,65.1,32.7,6.2,24.6,48.9,1256.7,146.2,18.07,0,0.393
Rice,Rabi,Andhra Pradesh,Alluvial,499.3,57.0,29.8,26.8,5.11,26.3,60.7,1339.0,166.9,9.92,1,2.838
Wheat,Rabi,West Bengal,Clay,446.25,141.5,51.6,24.8,7.22,27.2,55.7,1629.5,324.6,18.32,1,2.047
Maize,Kharif,Rajasthan,Red,8.0,112.5,35.0,45.5,7.06,28.0,65.9,230.9,119.0,8.4,0,1.625
Maize,Zaid,West Bengal,Loamy,487.89,79.2,37.9,31.6,5.97,28.8,49.2,794.1,65.9,4.44,0,6.027
Soybean,Kharif,Maharashtra,Loamy,497.59,44.9,69.8,47.5,7.32,27.5,52.2,722.8,64.4,7.34,0,1.817
Wheat,Rabi,Karnataka,Clay,475.43,77.6,65.1,17.0,7.63,25.2,59.0,1389.1,34.3,21.38,0,1.277
Maize,Kharif,Karnataka,Loamy,496.03,107.1,45.6,33.5,5.74,29.0,69.6,1671.9,135.4,5.76,0,1.346
Sugarcane,Rabi,Odisha,Black,40.0,177.1,54.0,93.4,5.86,29.4,78.8,1706.2,189.1,20.84,1,60.5
Mustard,Rabi,Rajasthan,Sandy Loam,499.57,56.1,37.7,9.7,6.98,34.6,51.0,503.9,66.5,24.89,0,1.052
Chickpea,Rabi,Maharashtra,Red,495.77,29.1,29.4,40.6,7.32,31.2,53.2,844.4,261.5,0.92,0,0.534
Wheat,Rabi,Assam,Loamy,468.2,101.7,40.1,37.0,7.54,29.6,38.2,2421.8,199.1,10.98,0,0.86
Sugarcane,Rabi,Odisha,Loamy,43.0,161.5,56.8,75.9,5.96,30.5,95.0,1379.3,239.3,4.99,1,48.465
Soybean,Kharif,Madhya Pradesh,Red,499.89,20.1,56.3,40.2,6.92,24.3,64.3,958.6,192.5,7.65,0,0.932
Chickpea,Rabi,Maharashtra,Red,496.08,40.6,29.1,40.4,6.41,29.9,29.1,1185.6,298.8,9.92,0,0.905
Barley,Rabi,Haryana,Loamy,424.67,64.8,43.4,23.9,6.22,23.7,54.8,705.0,176.2,22.26,1,2.355
Tomato,Rabi,Andhra Pradesh,Red,13.03,186.2,62.8,48.7,6.19,27.2,68.6,869.2,97.9,24.4,1,23.223
Banana,Whole Year,Assam,Alluvial,467.5,197.7,45.1,369.8,7.29,22.6,69.2,2979.7,159.7,11.15,1,17.874
Rice,Zaid,Gujarat,Alluvial,350.0,77.9,59.2,67.3,5.38,27.2,66.6,682.9,114.5,11.26,1,2.143
Rice,Zaid,Bihar,Alluvial,486.0,84.8,25.3,37.2,6.53,23.7,87.0,1251.4,39.1,18.1,1,2.492
Maize,Rabi,Maharashtra,Sandy Loam,100.0,115.2,36.6,27.0,5.89,24.1,60.1,1725.7,182.2,1.82,1,1.0
Maize,Kharif,Karnataka,Loamy,358.0,160.1,38.5,24.8,6.26,33.0,85.6,1638.4,194.7,12.97,0,2.874
Chickpea,Rabi,Uttar Pradesh,Black,492.71,19.5,33.7,25.5,6.87,23.9,33.2,1287.6,144.2,0.81,0,1.324
Mustard,Rabi,Madhya Pradesh,Alluvial,498.33,63.7,22.4,11.6,5.73,29.0,36.4,1437.0,345.3,15.17,0,1.573
Maize,Zaid,Odisha,Loamy,9.0,87.6,42.2,44.6,5.74,32.7,55.3,1575.1,296.7,18.09,1,0.911
Wheat,Rabi,Uttar Pradesh,Alluvial,499.7,125.6,44.6,35.3,6.48,21.9,31.9,1310.4,259.7,18.61,1,2.118
Groundnut,Whole Year,West Bengal,Laterite,36.0,15.0,30.1,35.6,7.33,28.4,48.3,1651.3,61.2,16.8,1,1.361
Chickpea,Rabi,Punjab,Black,100.0,26.8,43.8,25.2,6.11,22.9,47.7,463.4,154.3,13.97,1,2.0
Mustard,Kharif,Karnataka,Alluvial,283.5,53.0,37.7,20.5,6.37,28.1,48.6,643.8,339.9,9.16,1,0.473
Maize,Rabi,Karnataka,Sandy Loam,212.0,84.9,30.7,31.3,6.84,23.9,62.2,744.6,156.8,21.85,1,2.948
Chickpea,Rabi,Uttar Pradesh,Red,5.0,21.1,54.4,33.6,7.61,27.7,36.4,481.2,245.7,14.03,0,1.2
Cotton,Kharif,Karnataka,Black,483.8,66.7,22.0,23.7,6.44,27.7,52.2,1391.0,198.3,7.64,0,0.384
Groundnut,Kharif,Madhya Pradesh,Loamy,6.0,14.7,38.7,60.7,5.91,17.9,76.9,856.4,180.7,3.05,1,1.0
Cotton,Kharif,Haryana,Sandy,480.25,60.4,45.8,28.0,7.25,23.4,79.7,546.6,95.8,6.02,0,0.442
Mustard,Rabi,Maharashtra,Loamy,350.0,82.8,18.6,25.9,6.52,20.6,51.9,1192.1,329.8,13.57,0,0.286
Chickpea,Rabi,Assam,Loamy,42.0,17.2,40.8,20.0,5.98,23.6,42.8,1624.0,328.6,7.9,1,0.595
Maize,Kharif,Uttar Pradesh,Sandy Loam,482.89,123.7,46.1,27.2,5.51,26.6,71.0,860.4,90.7,13.76,0,1.648
Rice,Kharif,Jharkhand,Clay,409.33,83.0,34.3,35.1,6.4,22.1,84.2,1539.5,56.0,17.99,0,0.689
Cotton,Rabi,Tamil Nadu,Black,489.3,36.3,41.5,33.2,7.9,33.2,70.8,1166.4,109.6,23.75,1,0.391
Wheat,Rabi,Gujarat,Clay,497.18,134.3,31.9,31.6,6.3,29.6,71.0,418.0,155.6,22.67,1,2.195
Mustard,Whole Year,Madhya Pradesh,Alluvial,49.0,52.5,19.7,30.4,7.22,23.0,34.4,1546.5,142.7,23.45,1,0.612
Cotton,Kharif,Haryana,Loamy,498.18,58.1,42.3,44.9,7.4,27.1,63.5,587.3,94.4,11.15,1,0.633
Chickpea,Rabi,Assam,Black,59.0,42.6,40.2,25.7,7.46,25.6,61.5,2099.5,189.8,24.74,1,0.542
Banana,Whole Year,Kerala,Loamy,492.0,213.2,32.8,309.7,5.92,26.0,83.9,2797.4,125.6,23.07,0,7.522
Soybean,Kharif,Chhattisgarh,Black,18.0,54.4,48.3,21.2,7.3,23.9,81.1,1722.4,117.8,6.65,1,0.667
Groundnut,Kharif,Madhya Pradesh,Loamy,29.0,23.2,73.6,22.1,6.77,24.7,67.3,573.8,346.0,22.9,0,1.828
Maize,Kharif,Rajasthan,Sandy Loam,491.55,157.0,48.4,35.6,6.89,29.0,49.1,269.0,280.4,8.29,1,1.027
Mustard,Rabi,Bihar,Loamy,311.0,37.8,55.7,22.0,7.83,33.5,37.7,1049.7,244.2,23.68,1,0.561
Potato,Whole Year,Assam,Sandy,481.5,132.9,108.9,79.5,6.09,26.4,79.4,2054.9,164.5,23.77,1,4.774
Wheat,Rabi,Andhra Pradesh,Red,32.0,179.0,44.1,24.7,7.1,27.0,40.5,1281.4,140.0,12.31,1,1.312
Potato,Whole Year,Madhya Pradesh,Sandy Loam,296.0,118.8,72.4,106.0,5.19,25.7,67.1,906.2,95.6,4.32,1,7.421
Wheat,Rabi,Haryana,Loamy,499.8,124.0,40.4,29.0,6.71,25.3,35.6,526.5,55.4,17.23,1,3.092
Sugarcane,Whole Year,Assam,Red,324.0,164.9,46.1,72.1,5.77,25.0,86.9,1586.0,81.7,2.39,1,39.636
Sugarcane,Kharif,Uttar Pradesh,Sandy Loam,498.29,208.1,58.3,90.6,7.71,28.9,64.0,1327.1,91.2,19.45,1,44.292
Groundnut,Rabi,Karnataka,Loamy,370.0,18.2,36.5,52.5,5.78,29.3,61.1,715.5,122.4,15.36,1,0.773
Mustard,Rabi,Uttar Pradesh,Alluvial,387.67,57.8,49.4,14.8,6.35,32.8,63.4,578.2,159.3,17.93,1,1.298
Maize,Kharif,Andhra Pradesh,Sandy Loam,495.41,90.9,38.3,43.1,6.98,25.3,86.9,1343.3,145.4,5.56,0,4.796
Wheat,Rabi,Rajasthan,Loamy,482.1,70.7,45.5,30.7,7.7,33.0,45.4,218.3,115.6,7.98,1,2.839
Groundnut,Kharif,Maharashtra,Red,495.15,24.2,26.6,31.0,5.45,29.6,42.5,666.3,275.7,7.96,1,1.745
Rice,Zaid,Karnataka,Loamy,499.25,57.1,39.2,44.6,5.25,25.1,86.8,1081.9,107.1,17.2,0,2.746
Soybean,Kharif,Chhattisgarh,Loamy,21.0,28.9,53.6,24.1,6.51,23.9,64.3,1294.7,245.1,10.91,0,0.81
Sugarcane,Whole Year,Rajasthan,Black,23.0,257.1,72.8,70.7,6.81,31.1,60.8,496.6,205.2,4.99,0,48.348
Maize,Zaid,Bihar,Alluvial,491.81,106.9,57.2,16.6,5.75,23.9,60.6,768.4,60.0,17.76,1,2.769
Maize,Zaid,Bihar,Sandy Loam,5.0,81.4,39.7,24.8,6.81,20.4,85.3,1561.1,245.3,20.63,1,2.2
Cotton,Kharif,Tamil Nadu,Sandy,479.67,75.1,19.7,32.2,8.11,29.2,34.0,1321.0,165.3,18.79,1,0.308
Maize,Rabi,Maharashtra,Sandy Loam,483.33,97.5,64.8,43.0,6.33,25.2,86.8,1799.3,139.0,9.12,1,2.034
Rice,Kharif,Andhra Pradesh,Alluvial,499.13,117.6,56.2,34.6,6.32,24.9,95.5,854.8,92.3,9.51,1,1.39
Maize,Zaid,Bihar,Alluvial,477.0,130.0,72.4,43.2,5.61,29.0,60.3,1020.6,34.5,20.5,1,2.444
Maize,Kharif,Tamil Nadu,Loamy,490.5,151.4,40.3,44.6,7.2,26.6,42.9,818.5,157.6,11.39,1,3.484
Soybean,Kharif,Madhya Pradesh,Laterite,499.93,18.4,75.9,15.9,6.92,29.5,50.3,599.7,46.0,12.98,1,0.408
Mustard,Rabi,Punjab,Loamy,428.57,77.4,46.5,16.6,7.88,23.5,40.6,958.1,48.2,10.02,0,1.333
Maize,Zaid,Maharashtra,Alluvial,200.0,103.7,53.2,53.5,7.5,29.6,44.5,1764.3,272.2,15.92,0,1.0
Rice,Rabi,Odisha,Clay,498.08,78.2,25.6,21.4,6.18,20.7,80.9,1382.6,63.0,1.73,1,1.5
Maize,Rabi,Odisha,Alluvial,22.0,142.3,41.1,43.2,6.01,25.5,60.8,1856.3,64.7,10.01,1,2.018
Groundnut,Kharif,Maharashtra,Red,200.0,18.2,45.2,26.5,5.56,27.8,49.8,1557.9,142.7,16.99,1,1.0
Rice,Rabi,Odisha,Loamy,497.72,92.7,26.4,27.3,5.44,32.7,97.9,1214.6,342.3,24.73,1,2.156
Maize,Rabi,Andhra Pradesh,Sandy Loam,470.07,132.9,33.1,50.3,5.4,27.9,41.1,764.3,202.0,24.66,1,7.462
Wheat,Rabi,Jharkhand,Loamy,469.0,96.0,58.1,37.9,7.43,28.7,69.5,1461.2,258.9,12.74,1,1.431
Chickpea,Rabi,Maharashtra,Black,471.43,27.0,37.9,23.5,6.47,25.0,41.9,1140.9,270.0,8.73,0,0.455
Rice,Kharif,Uttar Pradesh,Black,498.62,84.1,46.5,22.8,6.3,27.1,94.4,1057.7,38.8,3.59,1,2.793
Rice,Rabi,Assam,Alluvial,496.09,78.8,59.4,57.2,6.7,25.0,97.8,1750.8,30.4,7.16,0,1.995
Maize,Rabi,Uttar Pradesh,Sandy Loam,10.0,156.8,24.3,53.7,5.56,26.9,45.3,1220.3,200.7,9.85,1,3.5
Sugarcane,Whole Year,Madhya Pradesh,Alluvial,30.0,217.8,88.7,140.6,5.79,22.2,69.0,802.3,275.8,7.08,1,32.667
Maize,Kharif,Chhattisgarh,Alluvial,428.86,71.9,25.2,47.1,7.21,27.6,75.1,1596.5,41.6,6.06,1,0.985
Maize,Kharif,Madhya Pradesh,Alluvial,465.67,79.6,64.5,39.8,5.76,27.3,62.4,867.0,104.2,1.34,0,1.348
Maize,Kharif,Tamil Nadu,Sandy Loam,460.1,79.8,32.0,19.3,6.17,32.1,42.7,483.5,67.5,15.6,1,3.677
Potato,Rabi,Jharkhand,Loamy,462.75,159.0,89.1,78.7,6.37,21.1,55.6,1220.1,275.8,20.38,0,6.235
Jute,Kharif,West Bengal,Clay,431.71,78.3,30.5,14.4,5.51,27.4,74.1,2039.8,103.1,22.31,1,2.361
Banana,Whole Year,Tamil Nadu,Alluvial,435.2,262.2,36.4,315.4,7.84,22.5,73.4,805.6,210.2,14.98,0,53.584
Mustard,Rabi,Madhya Pradesh,Alluvial,498.8,51.8,40.1,22.7,6.42,23.7,61.6,888.3,184.8,12.23,1,1.618
Rice,Kharif,Tamil Nadu,Black,478.33,69.5,39.5,59.2,6.82,35.8,91.0,693.5,73.3,14.61,1,5.04
Wheat,Rabi,Bihar,Clay,496.25,83.1,61.0,46.8,6.18,31.9,70.6,1300.7,251.9,3.32,1,2.965
Sugarcane,Whole Year,Tamil Nadu,Alluvial,486.47,258.5,95.8,63.1,6.5,29.2,71.3,585.3,143.4,20.57,1,131.611
Jute,Kharif,Assam,Clay,419.0,36.9,18.3,40.9,5.12,28.8,71.3,1787.0,113.4,19.63,0,1.065
Rice,Kharif,Kerala,Black,493.0,82.1,38.5,40.3,6.49,25.7,78.7,3399.5,154.9,19.81,1,2.178
Maize,Rabi,Andhra Pradesh,Sandy Loam,485.93,125.8,47.7,25.3,5.46,30.3,78.8,1311.2,187.6,5.21,0,7.454
Potato,Whole Year,West Bengal,Sandy Loam,495.72,121.1,63.6,99.2,5.45,22.6,85.7,860.0,244.2,23.03,0,23.286
Maize,Rabi,Uttar Pradesh,Loamy,90.0,182.5,42.6,20.6,7.17,25.0,57.9,920.3,218.4,21.64,0,2.811
Rice,Rabi,Andhra Pradesh,Loamy,499.55,65.5,22.6,22.4,7.41,26.8,64.4,1255.0,347.3,2.01,1,3.209
Mustard,Rabi,Gujarat,Loamy,100.0,69.4,24.1,23.2,6.69,27.0,36.7,634.8,325.9,10.73,1,2.0
Potato,Rabi,Uttar Pradesh,Alluvial,425.5,136.1,82.0,121.0,5.34,26.0,58.0,1156.3,119.2,1.24,0,21.413
Maize,Kharif,Uttar Pradesh,Laterite,10.0,108.3,47.9,40.8,7.19,24.4,79.0,995.9,335.1,10.63,1,1.3
Sugarcane,Whole Year,Assam,Black,225.0,200.7,86.3,69.5,6.95,27.1,55.7,2712.0,100.8,8.4,1,39.0
Wheat,Rabi,Assam,Loamy,330.0,125.0,60.7,25.8,7.57,25.2,54.5,1659.5,307.5,20.51,1,0.942
Rice,Kharif,Kerala,Loamy,386.0,77.5,26.3,67.4,7.02,25.0,89.8,2770.2,79.2,6.45,1,2.006
Coffee,Whole Year,West Bengal,Loamy,20.14,122.1,58.1,101.5,4.51,28.0,64.4,1912.7,264.2,8.17,1,0.948
Groundnut,Kharif,Punjab,Loamy,457.14,26.6,35.1,28.7,6.25,28.7,42.6,743.8,250.6,18.3,1,0.875
Chickpea,Rabi,Bihar,Red,135.0,32.3,35.6,16.4,6.2,32.4,30.1,1454.1,213.8,7.91,0,0.615
Maize,Kharif,Bihar,Sandy Loam,424.4,117.1,52.4,33.1,5.75,25.3,67.9,1606.3,72.2,21.77,1,3.242
Wheat,Rabi,Rajasthan,Clay,497.93,83.7,44.5,44.8,6.67,28.3,67.9,526.3,40.9,6.22,1,3.21
Banana,Whole Year,Uttar Pradesh,Alluvial,9.0,253.2,67.0,269.4,5.69,27.2,68.6,1172.6,55.5,23.37,1,36.444
Banana,Whole Year,Karnataka,Alluvial,474.55,304.3,70.2,436.2,5.74,26.3,76.7,1114.9,292.5,13.89,0,12.443
Wheat,Rabi,Gujarat,Clay,495.92,105.7,38.1,40.5,7.45,26.9,61.6,650.5,106.1,20.02,1,1.885
Rice,Kharif,Bihar,Sandy Loam,470.12,83.4,50.9,51.8,5.13,28.5,84.3,1019.9,177.0,19.67,0,1.503
Barley,Rabi,Haryana,Sandy,436.0,94.1,37.9,20.5,7.94,23.8,64.8,284.2,348.4,19.16,1,3.44
Groundnut,Kharif,Karnataka,Red,495.07,17.4,45.6,40.9,6.49,26.9,48.5,1187.3,277.2,12.79,1,0.611
Sugarcane,Whole Year,Andhra Pradesh,Black,112.0,305.8,127.8,46.5,6.01,32.8,99.0,931.1,137.2,13.71,0,89.0
Tomato,Rabi,Rajasthan,Sandy Loam,9.68,94.0,55.2,120.3,7.0,30.5,68.1,239.3,90.0,17.9,1,25.198
Soybean,Kharif,Rajasthan,Loamy,499.14,34.0,53.7,22.2,7.24,29.1,61.4,511.7,161.7,22.1,0,1.319
Rice,Rabi,Karnataka,Alluvial,50.0,89.7,34.6,20.8,6.81,24.9,60.8,1664.6,98.6,17.23,0,2.5
Cotton,Kharif,Tamil Nadu,Black,496.0,64.0,21.9,28.2,7.74,23.8,30.2,555.0,338.9,17.55,0,0.42
Potato,Whole Year,Rajasthan,Sandy Loam,271.0,183.6,89.1,126.7,6.16,20.9,71.0,593.9,164.0,21.93,1,7.554
Chickpea,Rabi,Uttar Pradesh,Black,483.33,28.2,49.8,19.3,7.11,26.0,30.0,564.3,79.6,16.58,1,0.987
